Model,Varient,Year,Fuel type,Ex-Showroom (rupees)
CRETA,SX 1.6 CRDi (O),2017,DIESEL,1494000
CRETA,E,2019,PETROL,960000
CRETA,E PLUS,2019,PETROL,1000000
CRETA,EX,2019,PETROL,1091000
CRETA,SX,2019,PETROL,1231000
CRETA,SPORTS,2019,PETROL,1279000
CRETA,SX (O),2019,PETROL,1289000
CRETA,SX (O) EXECUTIVE,2019,PETROL,1421000
CRETA,E,2019,DIESEL,1000000
CRETA,E PLUS,2019,DIESEL,1091000
CRETA,EX,2019,DIESEL,1193000
CRETA,SX,2019,DIESEL,1365000
CRETA,SPORTS,2019,DIESEL,1414000
CRETA,SX (O),2019,DIESEL,1514000
CRETA,SX (O) EXECUTIVE,2019,DIESEL,1570000
CRETA,E,2020,PETROL,1022000
CRETA,EX,2020,PETROL,1118000
CRETA,S,2020,PETROL,1241000
CRETA,SX EXECUTIVE,2020,PETROL,1341000
CRETA,SX ,2020,PETROL,1419000
CRETA,SX (O),2020,PETROL,1688000
CRETA,E,2020,DIESEL,1069000
CRETA,EX,2020,DIESEL,1210000
CRETA,S,2020,DIESEL,1338000
CRETA,SX EXECUTIVE,2020,DIESEL,1437000
CRETA,SX ,2020,DIESEL,1515000
CRETA,SX (O),2020,DIESEL,1643000
,,,,
ALCAZAR,PRESTIGE 7 STR,2021,PETROL,1634000
ALCAZAR,PLATINUM 7 STR,2021,PETROL,1829000
ALCAZAR,SIGNATURE 6 STR,2021,PETROL,1874000
ALCAZAR,PRESTIGE 7 STR,2021,DIESEL,1675000
ALCAZAR,PRESTIGE 6 STR,2021,DIESEL,1681000
ALCAZAR,PLATINUM 7 STR,2021,DIESEL,1866000
ALCAZAR,SIGNATURE 6 STR,2021,DIESEL,1915000
,,,,
VENUE,E,2019,PETROL,699000
VENUE,S,2019,PETROL,779000
VENUE,S PLUS,2019,PETROL,867000
VENUE,SX,2019,PETROL,1009000
VENUE,S (O),2019,DIESEL,956000
VENUE,SX,2019,DIESEL,1000000
VENUE,SX (O) EXECUTIVE,2019,DIESEL,1108000
VENUE,SX (O)  ,2019,DIESEL,1171000
,,,,
KONA,PREMIUM,2019,ELECTRIC,2379000
